claim_id,location,expected,observed,verdict,artifact,reason
c-01,06-evaluation.typ:33 (@tab:eval-config-spaces),16 options; 746496 combinations; 11 checks,kafka-cluster: space_size=746496,match,analysis/execution-accounting.json,
c-02,06-evaluation.typ:34 (@tab:eval-config-spaces),6 options; 96 combinations; 12 checks,etcd-cluster: space_size=96,match,analysis/execution-accounting.json,
c-03,06-evaluation.typ:35 (@tab:eval-config-spaces),8/3/4 options; 864/4/24 combinations; 5/2/3 checks,rabbitmq-disk=864; rabbitmq-faildom=4; rabbitmq-crash=24,match,analysis/execution-accounting.json,
c-04,06-evaluation.typ:73-76 (@sec:evaluation-kafka),product of per-dimension value counts = 746496,kafka-cluster: space_size=746496; product of per-dimension value counts,match,analysis/execution-accounting.json,
e1-01,06-evaluation.typ:197 (@sec:evaluation-etcd v1 sweep),39 pass / 11 fail of 50 seeds,39 pass / 11 fail of 50 seeds,match,analysis/etcd-v1-sweep.json,
e1-02,06-evaluation.typ:197 (@sec:evaluation-etcd v1 sweep),"seeds 5,7,20,21,25,29,30,34,38,42,49","failing seeds 5,7,20,21,25,29,30,34,38,42,49",match,analysis/etcd-v1-sweep.json,
e1-03,06-evaluation.typ:197 (@sec:evaluation-etcd v1 sweep),class invalid-etcd-election-timeout-heartbeat-ratio with empty 0/0 property report (failure pre-property-suite),failure_class=invalid-etcd-election-timeout-heartbeat-ratio; failing seeds with recorded checks: [],match,analysis/etcd-v1-sweep.json,
e1-04,06-evaluation.typ:191-195 (@sec:evaluation-etcd v1 sweep),heartbeat-interval=250ms with election-timeout=1000ms; error 'election-timeout should be at least 5x heartbeat-interval',"> etcd2 # [  893.401980] etcd[952]: {""level"":""warn"",""ts"":""2026-09-10T02:15:22.037650Z"",""caller"":""etcdmain/etcd.go:66"",""msg"":""failed to verify flags"",""error"":""--election-timeout[1000ms] should be at least as 5 times as --heartbeat-interval[…",match,analysis/etcd-v1-sweep.json,
e2-01,06-evaluation.typ:203 (@sec:evaluation-etcd v2 sweep),37 pass / 13 fail of 50 runs,37 pass / 13 fail of 50 seeds,match,analysis/etcd-v2-sweep.json,
e2-02,06-evaluation.typ:203 (@sec:evaluation-etcd v2 sweep),"seeds 3,6,12,13,14,28,33,34,38,40,41,42,43","failing seeds 3,6,12,13,14,28,33,34,38,40,41,42,43",match,analysis/etcd-v2-sweep.json,
e2-03,06-evaluation.typ:203 (@sec:evaluation-etcd v2 sweep),all 13 in class quota-backend-too-small-for-write-burst; failed check is last one etcd-quota-write-burst-etcd1,failure_class=quota-backend-too-small-for-write-burst; 13/13 failing seeds failed only etcd-quota-write-burst-etcd1,match,analysis/etcd-v2-sweep.json,
e2-04,06-evaluation.typ:205-207 (@sec:evaluation-etcd v2 sweep),etcdserver: mvcc: database space exceeded,Error: etcdserver: mvcc: database space exceeded,match,analysis/etcd-v2-sweep.json,
e2-05,06-evaluation.typ:214 (@tab:etcd-quota-correlation),0/13/13,0/13/13 (quota 2097152),match,analysis/etcd-v2-quota-correlation.csv,
e2-06,06-evaluation.typ:215 (@tab:etcd-quota-correlation),20/0/20,20/0/20 (quota 8388608),match,analysis/etcd-v2-quota-correlation.csv,
e2-07,06-evaluation.typ:216 (@tab:etcd-quota-correlation),17/0/17,17/0/17 (quota 67108864),match,analysis/etcd-v2-quota-correlation.csv,
e2-08,06-evaluation.typ:221 (@sec:evaluation-etcd v2 sweep),2MiB: 13/13 fail; 8MiB: 0/20 fail; 64MiB: 0/17 fail,"2MiB: 0/13 pass, 13/13 fail; 8MiB: 20/20 pass, 0/20 fail; 64MiB: 17/17 pass, 0/17 fail",match,analysis/etcd-v2-quota-correlation.csv,
e2-09,06-evaluation.typ:221 (@sec:evaluation-etcd v2 sweep),11 of 12 checks pass in every failing run,13/13 failing runs fail only etcd-quota-write-burst-etcd1 (11 of 12 checks passing),match,analysis/etcd-v2-sweep.json,
e2-10,06-evaluation.typ:187 (@sec:evaluation-etcd),6 options product 96 configurations of which 50 sampled,96 configurations of which 50 sampled,match,analysis/execution-accounting.json,
e2-11,06-evaluation.typ:225 (@sec:etcd-shrinking),seeds 3 and 40 shrink to identical minimal configuration,identical,match,analysis/etcd-v2-shrink.json,
e2-12,06-evaluation.typ:225 (@sec:etcd-shrinking),3 etcd nodes on one VLAN; memory 1024 MiB; disk 2048 MiB; heartbeat 100 ms; election timeout 1250 ms; snapshot count 10000; QUOTA_BACKEND_BYTES=2097152 (2 MiB),"final_config={""disk_size"": 2048, ""election_timeout_ms"": 1250, ""heartbeat_interval_ms"": 100, ""memory_size"": 1024, ""quota_backend_bytes"": 2097152, ""roles_etcd"": 3, ""snapshot_count"": 10000}",match,analysis/etcd-v2-shrink.json,
e2-13,06-evaluation.typ:225 (@sec:etcd-shrinking),11 passed / 1 failed / 12 total,seed 3: 11/1/12; seed 40: 11/1/12,match,analysis/etcd-v2-shrink.json,
e2-14,06-evaluation.typ:357 (@sec:evaluation-reproducibility),identical final choice maps and resolved values,identical_minimal_config=True,match,analysis/etcd-v2-shrink.json,
e2-15,06-evaluation.typ:227 (@sec:etcd-shrinking todo:EXPERIMENT),96 cells executed; 32 fail all at QUOTA_BACKEND_BYTES=2097152 (2 MiB); 64 pass,"96/96 cells with a property verdict; 32 fail (32 at 2097152); 64 pass; cells per quota {'2097152': 32, '67108864': 32, '8388608': 32}",match,analysis/etcd-v2-exhaustive.json,
k-01,06-evaluation.typ:98 (@sec:evaluation-kafka sweep results),13 of 50 pass / 37 of 50 fail,13 pass / 37 fail of 50 seeds,match,analysis/kafka-sweep.json,
k-02,06-evaluation.typ:98 (@sec:evaluation-kafka),37 failures all in kafka-large-message-on-kafka1,37 of 37 failing seeds failed only kafka-large-message-on-kafka1,match,analysis/kafka-sweep.json,
k-03,06-evaluation.typ:103-106 (@tab:kafka-classes),message.max.bytes too small: 18 (RecordTooLargeException); log.segment.bytes too small: 19 (RecordBatchTooLargeException); Pass: 13,broker-message-max-too-small: 18 (RecordTooLargeException); log-segment-too-small: 19 (RecordBatchTooLargeException); Pass: 13,match,analysis/kafka-sweep.json,
k-04,06-evaluation.typ:118 (@tab:kafka-crosstab),0/3/0,0/3/0 (1MiB/1MiB/1MiB),match,analysis/kafka-crosstab.csv,
k-05,06-evaluation.typ:119 (@tab:kafka-crosstab),0/3/0,0/3/0 (1MiB/1MiB/16MiB),match,analysis/kafka-crosstab.csv,
k-06,06-evaluation.typ:120 (@tab:kafka-crosstab),0/3/0,0/3/0 (1MiB/2MiB/1MiB),match,analysis/kafka-crosstab.csv,
k-07,06-evaluation.typ:121 (@tab:kafka-crosstab),0/2/0,0/2/0 (1MiB/2MiB/16MiB),match,analysis/kafka-crosstab.csv,
k-08,06-evaluation.typ:122 (@tab:kafka-crosstab),0/5/0,0/5/0 (1MiB/4MiB/1MiB),match,analysis/kafka-crosstab.csv,
k-09,06-evaluation.typ:123 (@tab:kafka-crosstab),0/2/0,0/2/0 (1MiB/4MiB/16MiB),match,analysis/kafka-crosstab.csv,
k-10,06-evaluation.typ:124 (@tab:kafka-crosstab),0/0/4,0/0/4 (2MiB/1MiB/1MiB),match,analysis/kafka-crosstab.csv,
k-11,06-evaluation.typ:125 (@tab:kafka-crosstab),2/0/0,2/0/0 (2MiB/1MiB/16MiB),match,analysis/kafka-crosstab.csv,
k-12,06-evaluation.typ:126 (@tab:kafka-crosstab),0/0/4,0/0/4 (2MiB/2MiB/1MiB),match,analysis/kafka-crosstab.csv,
k-13,06-evaluation.typ:127 (@tab:kafka-crosstab),4/0/0,4/0/0 (2MiB/2MiB/16MiB),match,analysis/kafka-crosstab.csv,
k-14,06-evaluation.typ:128 (@tab:kafka-crosstab),0/0/3,0/0/3 (2MiB/4MiB/1MiB),match,analysis/kafka-crosstab.csv,
k-15,06-evaluation.typ:129 (@tab:kafka-crosstab),2/0/0,2/0/0 (2MiB/4MiB/16MiB),match,analysis/kafka-crosstab.csv,
k-16,06-evaluation.typ:130 (@tab:kafka-crosstab),0/0/3,0/0/3 (4MiB/1MiB/1MiB),match,analysis/kafka-crosstab.csv,
k-17,06-evaluation.typ:131 (@tab:kafka-crosstab),1/0/0,1/0/0 (4MiB/1MiB/16MiB),match,analysis/kafka-crosstab.csv,
k-18,06-evaluation.typ:132 (@tab:kafka-crosstab),0/0/2,0/0/2 (4MiB/2MiB/1MiB),match,analysis/kafka-crosstab.csv,
k-19,06-evaluation.typ:133 (@tab:kafka-crosstab),3/0/0,3/0/0 (4MiB/2MiB/16MiB),match,analysis/kafka-crosstab.csv,
k-20,06-evaluation.typ:134 (@tab:kafka-crosstab),0/0/3,0/0/3 (4MiB/4MiB/1MiB),match,analysis/kafka-crosstab.csv,
k-21,06-evaluation.typ:135 (@tab:kafka-crosstab),1/0/0,1/0/0 (4MiB/4MiB/16MiB),match,analysis/kafka-crosstab.csv,
k-22,06-evaluation.typ:140 (@sec:evaluation-kafka),broker-max iff message.max.bytes=1MiB,broker-max iff message.max.bytes=1MiB (all 18 cells),match,analysis/kafka-crosstab.csv,
k-23,06-evaluation.typ:140 (@sec:evaluation-kafka),log-segment iff log.segment.bytes=1MiB,log-segment iff log.segment.bytes=1MiB (cells reachable past broker-max),match,analysis/kafka-crosstab.csv,
k-24,06-evaluation.typ:146 (@sec:kafka-class1),seed 13,"seed 13: status=failed, failure_class=broker-message-max-too-small",match,analysis/kafka-sweep.json,
k-25,06-evaluation.typ:153 (@sec:kafka-class1),10 pass / 1 fail,10 pass / 1 fail (failed check: kafka-large-message-on-kafka1),match,analysis/kafka-min-configs.json,
k-26,06-evaluation.typ:157 (@sec:kafka-class2),seed 9,"seed 9: status=failed, failure_class=log-segment-too-small",match,analysis/kafka-sweep.json,
k-27,06-evaluation.typ:164 (@sec:kafka-class2),10 pass / 1 fail,10 pass / 1 fail (failed check: kafka-large-message-on-kafka1),match,analysis/kafka-min-configs.json,
k-28,06-evaluation.typ:170 (@sec:kafka-shrink-limits),minimized seed-9 fails with RecordTooLargeException,"seed 9: original_class=log-segment-too-small, shrunk_status=failed, class_preserved=False",match,analysis/kafka-shrink.json,
k-29,06-evaluation.typ:76 (@sec:evaluation-kafka),746496 configurations of which 50 sampled,746496 configurations of which 50 sampled,match,analysis/execution-accounting.json,
k-30,06-evaluation.typ:357 (@sec:evaluation-reproducibility),zero flips across all 50 seeds,flips=0 across kafka-sweep repetitions (present=True),match,analysis/determinism.json,
