dimension,resolved_value,count
etcd:.services.etcd.extraConf.ELECTION_TIMEOUT,"""1250""",24
etcd:.services.etcd.extraConf.ELECTION_TIMEOUT,"""2500""",26
etcd:.services.etcd.extraConf.HEARTBEAT_INTERVAL,"""100""",23
etcd:.services.etcd.extraConf.HEARTBEAT_INTERVAL,"""250""",27
etcd:.services.etcd.extraConf.QUOTA_BACKEND_BYTES,"""2097152""",13
etcd:.services.etcd.extraConf.QUOTA_BACKEND_BYTES,"""67108864""",17
etcd:.services.etcd.extraConf.QUOTA_BACKEND_BYTES,"""8388608""",20
etcd:.services.etcd.extraConf.SNAPSHOT_COUNT,"""10000""",24
etcd:.services.etcd.extraConf.SNAPSHOT_COUNT,"""100000""",26
etcd:.virtualisation.diskSize,2048,25
etcd:.virtualisation.diskSize,4096,25
etcd:.virtualisation.memorySize,1024,19
etcd:.virtualisation.memorySize,2048,31
topology:.etcdVlans,[1],50
topology:.roles.etcd,3,50
