dimension,resolved_value,count
kafka:.services.apache-kafka.jvmOptions,"[""-Xms1024m"",""-Xmx1536m""]",18
kafka:.services.apache-kafka.jvmOptions,"[""-Xms256m"",""-Xmx512m""]",18
kafka:.services.apache-kafka.jvmOptions,"[""-Xms512m"",""-Xmx1024m""]",14
kafka:.services.apache-kafka.settings.auto.create.topics.enable,false,30
kafka:.services.apache-kafka.settings.auto.create.topics.enable,true,20
kafka:.services.apache-kafka.settings.default.replication.factor,1,25
kafka:.services.apache-kafka.settings.default.replication.factor,3,25
kafka:.services.apache-kafka.settings.log.retention.hours,1,11
kafka:.services.apache-kafka.settings.log.retention.hours,168,23
kafka:.services.apache-kafka.settings.log.retention.hours,24,16
kafka:.services.apache-kafka.settings.log.segment.bytes,1048576,30
kafka:.services.apache-kafka.settings.log.segment.bytes,16777216,20
kafka:.services.apache-kafka.settings.message.max.bytes,1048576,18
kafka:.services.apache-kafka.settings.message.max.bytes,2097152,19
kafka:.services.apache-kafka.settings.message.max.bytes,4194304,13
kafka:.services.apache-kafka.settings.min.insync.replicas,1,24
kafka:.services.apache-kafka.settings.min.insync.replicas,2,26
kafka:.services.apache-kafka.settings.num.io.threads,4,22
kafka:.services.apache-kafka.settings.num.io.threads,6,28
kafka:.services.apache-kafka.settings.num.network.threads,2,26
kafka:.services.apache-kafka.settings.num.network.threads,3,24
kafka:.services.apache-kafka.settings.offsets.topic.replication.factor,1,32
kafka:.services.apache-kafka.settings.offsets.topic.replication.factor,3,18
kafka:.services.apache-kafka.settings.replica.fetch.max.bytes,1048576,16
kafka:.services.apache-kafka.settings.replica.fetch.max.bytes,2097152,18
kafka:.services.apache-kafka.settings.replica.fetch.max.bytes,4194304,16
kafka:.services.apache-kafka.settings.transaction.state.log.min.isr,1,25
kafka:.services.apache-kafka.settings.transaction.state.log.min.isr,2,25
kafka:.services.apache-kafka.settings.transaction.state.log.replication.factor,1,23
kafka:.services.apache-kafka.settings.transaction.state.log.replication.factor,3,27
kafka:.services.apache-kafka.settings.unclean.leader.election.enable,false,24
kafka:.services.apache-kafka.settings.unclean.leader.election.enable,true,26
kafka:.virtualisation.diskSize,2048,15
kafka:.virtualisation.diskSize,4096,19
kafka:.virtualisation.diskSize,8192,16
kafka:.virtualisation.memorySize,2048,20
kafka:.virtualisation.memorySize,3072,12
kafka:.virtualisation.memorySize,4096,18
topology:.kafkaVlans,[1],50
topology:.roles.kafka,3,50
