cell,config,quota_backend_bytes,status,outcome
cell000,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
cell001,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",8388608,passed,passed
cell002,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",67108864,passed,passed
cell003,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
cell004,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",8388608,passed,passed
cell005,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",67108864,passed,passed
cell006,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
cell007,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",8388608,passed,passed
cell008,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",67108864,passed,passed
cell009,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
cell010,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",8388608,passed,passed
cell011,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":1,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":0,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",67108864,passed,passed
cell012,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
cell013,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":1,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",8388608,passed,passed
cell014,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":2,"".services.etcd.extraConf.SNAPSHOT_COUNT"":0,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",67108864,passed,passed
cell015,"{"".services.etcd.extraConf.ELECTION_TIMEOUT"":0,"".services.etcd.extraConf.HEARTBEAT_INTERVAL"":1,"".services.etcd.extraConf.QUOTA_BACKEND_BYTES"":0,"".services.etcd.extraConf.SNAPSHOT_COUNT"":1,"".virtualisation.diskSize"":0,"".virtualisation.memorySize"":0}",2097152,failed,property-failed
