dimension,resolved_value,count
rabbit:.environment.etc.topotestix-disk-backlog-rate.text,"""10""",21
rabbit:.environment.etc.topotestix-disk-backlog-rate.text,"""25""",29
rabbit:.environment.etc.topotestix-disk-capacity-safety-factor-milli.text,"""1000""",25
rabbit:.environment.etc.topotestix-disk-capacity-safety-factor-milli.text,"""1500""",25
rabbit:.environment.etc.topotestix-disk-confirm-timeout-ms.text,"""1000""",22
rabbit:.environment.etc.topotestix-disk-confirm-timeout-ms.text,"""3000""",28
rabbit:.environment.etc.topotestix-disk-consumer-outage-seconds.text,"""2""",28
rabbit:.environment.etc.topotestix-disk-consumer-outage-seconds.text,"""8""",22
rabbit:.environment.etc.topotestix-disk-initial-free-mb.text,"""100""",12
rabbit:.environment.etc.topotestix-disk-initial-free-mb.text,"""250""",20
rabbit:.environment.etc.topotestix-disk-initial-free-mb.text,"""500""",18
rabbit:.environment.etc.topotestix-disk-message-size.text,"""1024""",15
rabbit:.environment.etc.topotestix-disk-message-size.text,"""16384""",15
rabbit:.environment.etc.topotestix-disk-message-size.text,"""4096""",20
rabbit:.services.rabbitmq.configItems.disk_free_limit.absolute,"""100MB""",19
rabbit:.services.rabbitmq.configItems.disk_free_limit.absolute,"""200MB""",19
rabbit:.services.rabbitmq.configItems.disk_free_limit.absolute,"""50MB""",12
rabbit:.virtualisation.diskSize,2048,25
rabbit:.virtualisation.diskSize,4096,25
topology:.rabbitVlans,[1],50
topology:.roles.rabbit,3,50
